title,amount,department,date,city,views,details
"Best Corporate Relocation Companies, Industrial Moving Company & Corporate Relocation Services","1,200",Others,"August 16, 2019","Adari, Uttar Pradesh",1530,"Xfinity Moving is one of the best, professional, award-winning corporate and industrial moving companies that specialize in corporate relocation and w..."
"Business Relocation Movers, Business Moving Companies, Commercial & Business Moving Company","1,200",Others,"August 16, 2019","New Delhi, Delhi",1332,We at Xfinity Moving (Xfinitymoving.com) offers you the best and long distance Corporate as well as Business Relocation services of any size who requi...
The Full Line-Up Froats Boat Shoes at Froats.com,"2,500",Others,"August 14, 2019","Achhnera, Uttar Pradesh",2287,"FROATS (froats.com)the full line-up is combining unique & wild patterns with timeless & classic men's casual footwear like boat shoes, hand-stitched s..."
Mango Pods – Juul Compatible Mango Cali Pods,"1,200",Others,"August 14, 2019","New Delhi, Delhi",1525,"We at Cali Vape Shop (Calivapepods.com) carry mango cali pods, mango pods, mango juul compatible pods and you need to to try this new flavor that we p..."
Buy Revolution Electric Cigarette Machine & Maker at Hardworkingproducts.com,"1,200",Others,"August 14, 2019","New Delhi, Delhi",1431,"Buy best and reasonably priced revolution electric cigarette machine, electric cigarette maker, automatic electric cigarette rolling machine and tobac..."
"Are you looking for best, high quality, cheap and inexpensive hoverboard For Sale UK, segway/swegway","1,200",Others,"August 14, 2019","New Delhi, Delhi",1372,"Are you looking for best, high quality, cheap and inexpensive hoverboard For Sale UK, segway/swegway For Sale UK, hoverboard segway spare or replaceme..."
"HPI Savage XL, .25 SS, 4.6 & 5.9 Supercharger","1,200",Others,"August 14, 2019","Gajapati, Orissa",877,"Find best & great deals on RB Innovations for HPI Savage 25, hpi savage xl, hpi savage xl .25ss and hpi savage xl 5.9 in radio control engines, parts,..."
I WAS SITTING IN PUBLIC PARK WITH MY FRIEND AND AT THAT TIME TWO POLICE OFFICER CAME AND TAKEN BRIBE,500,FIR and Complaints,"August 13, 2019","Jamshedpur, Jharkhand",1473,"DATE:- 13/08/2019 TIME:- 8:40 PM ADRESS:- BHETEYA PARK ,KADMA,JAMSHEDPUR,JHARKHAND INCIDENT :- I AND MY FREIND SITTING TOGETHER  AT THAT TIME TWO POLI..."
Corrupted system.,500,Verification and Certificates,"August 13, 2019","Bangalore, Karnataka",1720,"I went for my passport verification, they are doing it like a organized crime. Everyone know and everyone is hiding each others mistake. He took Rs. 5..."
"To complete what is called a mahajaru, which is capturing incident details ",500,FIR and Complaints,"August 13, 2019","Bangalore, Karnataka",1308,"There was a break in and robbery of around 85K worth of equipment. The SI insisted that I declare the value as 45K, else he said the process is too te..."
Bribe for New Connection ,"50,000",Electricity Connection,"August 13, 2019","Krishnagiri, Tamil Nadu",1605,It's almost a year that we had applied for electricity connection to our land in Nachikuppam. Initially we waited for 4 months and then called the off...
Bribe to get connection ,"50,000",Electricity Connection,"August 13, 2019","Krishnagiri, Tamil Nadu",1528,It's almost a year that we had applied for electricity connection to our land in Nachikuppam. Initially we waited for 4 months and then called the off...
AR10 Lower Part Kit & AR10 308 Handguard,"1,200",Others,"August 12, 2019","Badharghat, Tripura",1229,"Buy online best, inexpensive and very very low-priced AR10 Mlok Handguard, AR10 Lower Part Kit & AR 10 308 Handguard and other related AR15 Handguard ..."
SUBHASH CHANDER CORRUPT OFFICER LOCATION - RAJOURI GARDEN MCD OFFICE GROUND ,"2,700",Driving and Transport Business,"August 11, 2019","New Delhi, Delhi",1489,"THEY FORCEFULLY TOOK MY SCOOTER BROKE THE ENGINE GUARD,  AND ASKED FOR A BRIBE BUT I PAID THE FULL FINE.   MY SCOOTER WAS PARKED OUTSIDE THE MALL. THE..."
Too much burden on common people,500,Traffic Violations,"August 11, 2019","Bangalore, Karnataka",2538,"11.08.2019,5 pm sadashivnagar traffic police guttahalli ASI traffic..."
"Toride Cabs Service (P) LTD, Agra-Against For Salary Issue,Last 3 Month","10,00,000",Employee Grievances,"August 10, 2019","Agra, Uttar Pradesh",2970,"Respected Concern,       We have working in Topride Cab Services, Raman Tower Sanjay Place, Agra for since last 6 month. There are approx 25 employee...."
Khata transfer ,"15,000",Khata,"August 10, 2019","Bangalore, Karnataka",1364,"Paid to regional officer, Cmc Office, Hebbagoddi.  ..."
Bribe for Minority Officer,"10,000",Others,"August 9, 2019","Mangalore, Karnataka",2889,"I do not know the name of the officer, I am a woman I had applied for loan 1 65,000 for SELF employment through Minority Commission , to consider my a..."
Paid bribe to traffic police.,500,"Traffic Fines, Penalties, Rules","August 9, 2019","Bangalore, Karnataka",1398,I was at the PSK for my passport work. PSK has a parking behind the building and I went there to park my bike. While coming back towards outer ring ro...
Customs officials are becoming and behaving like prostitutes. ,"10,000",Customs Check and Clearance,"August 9, 2019","Hyderabad, Telangana",2313,"I carried a gold chain 24K from Dubai to Hyderabad, one of customs official called me and asked me to pay 65K INR, I said him, okay I will not take th..."
Passport renewal,500,Issue and Renewal of Passport,"August 9, 2019","Surat, Gujarat",2191,Everyone needs to pay 250/- or more for the issue and renewal of passport at the Police station--all police stations anywhere in Surat ..every time. I...
"Forced to pay Bribe, Fed up of Harassment","7,200",Encumbrance Certificate,"August 9, 2019","Davanagere, Karnataka",4603,"Davanagere Taluk Office. Revenue Officer and his clerks demanded bribe to give a simple certificate.  Clerk Nagaveni, Miss Megha.   Location of the in..."
False allegation in public place ,"10,000",False Allegations,"August 8, 2019","Yamunanagar, Haryana",2592,"And my gurfriend was sitting in the park after a while, a constable came and said, what are you doing here at 8 o 'clock  Dont know the name of consta..."
Temporary meter corruption,"6,000",Change of Tariff in Domestic to Commercial,"August 8, 2019","Bangalore, Karnataka",2940,"I have one temporary meter, meter one day late payment so as per rule the meter is lapsed Electrical officer said i can renewal the meter give 6000/- ..."
Long Distance Residential Moving Company & Services | Residential Moving Companies,"1,200",Others,"August 7, 2019","New Delhi, Delhi",1402,We at Xfinity Moving is a top-rated long distance residential moving company providing full-service for residential moves and best services at afforda...
Best Long Distance Moving Companies & Interstate Removalists at Xfinitymoving.com,"12,000",Others,"August 7, 2019","New Delhi, Delhi",1375,"Xfinity Moving (xfinitymoving.com) is one of the best and inexpensive long distance moving company or movers, interstate removal company, cheap inters..."
I paid bribe to sub registar of J P Nagar office,"5,000",Property Registration,"August 7, 2019","Bangalore, Karnataka",1243,I paid bribe to register our resale propery to sub registar at J P Nagar Bangalore Office. Even though my all papers  were clear and I hired property ...
Paid a bribe to getting obc certificate made on central government format,"5,000",Others,"August 6, 2019","Shivpuri, Madhya Pradesh",1090,I dont know the name of the person who asked for money but he was a bit cripple with his leg and had a surname agarwal works in sdm office shivpuri as...
Demanding bribe for pension release,"7,000",Pension Processing,"August 6, 2019","Shahjahanpur, Uttar Pradesh",929,Fwd:  SIR JI NAMASTE  MERE PATI MR RAMESH CHANDRA S/O SRI RAM TEHSIL POWAYA SHAHJAHANPUR UP 242001 ME LEKHPAL THE JINKI SEWAKAAL ME 07/08/2017 KO DEAT...
Froats Bottle Opener at Froats.com,"1,200",Others,"August 6, 2019","New Delhi, Delhi",1362,"Choose from an array of uniquely designed, best, high quality Bottle Openers and we have everything from Wall Mounted Openers with Cap Catchers @ http..."
Cali Stick & Cali Stick Disposable Vape at Calivapepods.com,"1,200",Others,"August 6, 2019","New Delhi, Delhi",1318,Get online best and affordable the Cali Sticks Flavored Disposable Vape from Calivapepods.com at best market price. The CALI STICK Disposable Vape is ...
Handcrafted Stemless Wine Glasses & Drinking Glasses,"1,200",Others,"August 6, 2019","Adilabad, Telangana",1638,Wholesale online beat and beautiful handcrafted stemless wine glasses from Oaxaca and made from recycled glass while each glass is handcrafted in Mexi...
Kids Hoverboards Segway/Swegway Case Shell Kit at Smartboardsuk.com,"1,200",Sales Tax,"August 6, 2019","Achhnera, Uttar Pradesh",2005,"Get online brand new plastic shell kit and make your hoverboard new again. All the parts included - Strong ABS Plastic Standard Fit For All 4.5"" Hover..."
Losi 5IVE T Upgrades Parts at RBinnovations.com,"1,200",Others,"August 6, 2019","New Delhi, Delhi",1240,"Shop or wholesale online the best and cheap losi 5ive upgrade parts at RB Innovations (rbinnovations.com) automotive store and more from servo arm, lo..."
Bribe by Purana Qila Delhi Traffic Police on 2 aug,400,Autorickshaws,"August 5, 2019","New Delhi, Delhi",5249,"Date: 2ns August 2019 Time: 10:40 PM Location: Purana Qila Red Light -Left Turn after petrol pump (New Delhi), Total Police man : 4 (2 young, 1 averag..."
Buy Online AR15 Lower Part Kit & AR15 LPK,"12,589",Others,"August 5, 2019","Achhnera, Uttar Pradesh",1984,"If you are looking to buy online best, high quality & inexpensive ar15 lpk, ar15 lower part kit or kits and several other related AR 15 Handguard item..."
Still not a no to bribe,200,"Fines, Penalties and Rules","August 5, 2019","Raipur, Chhattisgarh",2212,I am a student travelling from  raipur to kantabanji on 5th of August 2019 in train number 18408 I was unable to fetch a Ac ticket so I managed to get...
Shame on Airport staff,"13,500",Customs,"August 5, 2019","Hyderabad, Telangana",1998,I was carrying my old ornaments( made 30 years back) back which i brought to US .while going back to my own country (India) airport staff stopped and ...
Policeman takes bribe,50,Transport of Luggage and Goods,"August 4, 2019","New Delhi, Delhi",1231,"I with my friend went Railway parcel office where this incident happens, he wear dress of police and sits near exit gate, he wear a batch but it is re..."
Gift Deed,"3,000",Registrations and Licenses,"August 4, 2019","Bangalore, Karnataka",1199,Paid to obtain copy of Gift Deed at Sub Registrar Office under Jainagar Registrar jurisdiction.Bribe was asked as Office Expense although all legitima...
"Supriya Das, Sbi Bank molandighi branch","50,000",Loans,"August 2, 2019","Durgapur, West Bengal",1525,"Mr. Supriya Das, a bank employee of having in junior post in Sbi Bank Molandighi branch Durgapur demanded bribe from me for passing my loan, I paid th..."
For police verification,"1,800",Verification and Certificates,"August 2, 2019","Kanpur, Uttar Pradesh",2317,They charge me bribe and threatened me that they spoil my report and what so ever you have toh pay it  And if you pay later the amount would be higher...
Traffic police corruption on Mumbai Pune Expressway,"1,000","Traffic Fines, Penalties, Rules","August 2, 2019","Mumbai, Maharashtra",1888,"This happened on 10th or 11th June 2019 when I  was riding my bike KTM RC 200 (MH05DT7777) from kharghar to Lonavala , but unknowingly , I entered Mum..."
Not to transfer land patta which are in court cases,"1,00,000",Patta,"August 2, 2019","Thiruvarur, Tamil Nadu",1125,Officer name : Rajarajan (Assistant thasildhar - Nannilam - tiruvarur - Tamil nadu). 28-06-2019 10:00AM  Details:  Yesterday they have transferred the...
Paid a bribe of around 500 and they claimed us to pay of rupees 4000,500,Others,"August 1, 2019","Tiruchirapalli, Kerala",1636,"On 29.07.2019, as the surveyor team from ariyamangalam part office visited out home as per our request for surveying the land, the probelm is like we ..."
Juul Compatible Pods at Calivapepods.com,"1,200",Others,"July 31, 2019","Adari, Uttar Pradesh",1863,"JUUL Compatible Pods - Find or get the best and latest daily Cali vape/vapor, Eliquid deals on calivapepods.com and wholesale JUUL Compatible Pods. Ca..."
Powermatic 3 Cigarette Rolling Machine & Injector Machine For Sale,"1,200",Others,"July 31, 2019","Adilabad, Telangana",1740,Powermatic III (3) Cigarette Machine or Powermatic 3 Injector Machine is a great way to save hundreds of dollars a year instead of buying packaged cig...
Hoverboards Segway/Swegway and Hoverkart Accessories UK,"1,200",Others,"July 31, 2019","Adilabad, Telangana",1481,"Are you searching for best and high quality Hoverboard, Hoverkart and Swegway Accessories online in UK at the best price? Buy online best Hoverboard, ..."
Traxxas 3.3 Engine Supercharger at RBinnovations.com,"1,200",Others,"July 31, 2019","Abohar, Punjab",2242,"Buy best and cheap Traxxas Supercharger, traxxas 3.3 engine supercharger and Traxxas Supercharger Sapre Parts online in Minoa, NY, USA with us at RB I..."
The Rugged Camos Boat Shoes at Froats .com,"1,200",Others,"July 31, 2019","Adari, Uttar Pradesh",1485,"It's autumn and you want to keep it rugged and blend in with your environment be it a cabin, a lodge, or a flat-bottom boat cutting through the reeds ..."
Agriculture department,"1,000",Government Personnel,"July 31, 2019","Siwan, Bihar",1942,Arun Kumar-agriculture conlsultant Not remembered Not remembered Pachrukhi Block office siwan Bihar Ukhai Agriculturer consultant...
Birth certificate enquiry,300,Certificates,"July 30, 2019","Cuddapah, Andhra Pradesh",1094,Kadapa mro office birth certificate enquiry person in Ravindra nagar area Kadapa town ysr district ...
Paid money to receive my parcel,500,Transport of Luggage and Goods,"July 30, 2019","Bangalore, Karnataka",1257,"At gate for submitting gate pass at parcel office, the boy and two other demanded money for just giving my books parcel. My father is an retired India..."
Asked for 4000 bribe,600,Driving and Transport Business,"July 29, 2019","Hyderabad, Telangana",2052,"My sister and me are travelling from IDA bollaram to Patancheru  by ORR service road, my sister is driving the bike a toll van came and the person ins..."
AR15 Upper Receiver - AR15 BCG - AR15 Upper Build,"1,200",Others,"July 29, 2019","New Delhi, Delhi",1313,"If you are looking to buy best, cheap & inexpensive AR15 Upper Build, AR15 Upper Receiver and AR15 BCG online in Pomona, CA, USA then the AR15 Handgua..."
HAD TO PAY A BRIBE INSPITE OF PRODUCING LEGAL PAPERS,500,Autorickshaws,"July 28, 2019","Bangalore, Karnataka",2286,"The officers who were checking vehicles in the night on 27th July 2019 at JC NAGAR POLICE STATION BANGALORE, took my bike key since I didn’t have my..."
I paid bribe and e-chalan also.,300,"Traffic Fines, Penalties, Rules","July 27, 2019","Noida, Uttar Pradesh",2186,During office rush hour in noida sec-62 it was around 7pm to 8pm. It was my mistake that i take wrong u turn near jaypee college. HC 842 PRAVESH GIRI ...
Paid to traffic police who cornered me with wrong cases and taken my bike keys,500,"Traffic Fines, Penalties, Rules","July 27, 2019","Bangalore, Karnataka",1332,It had happened at bellendur signal. He asked me to transfer amount to account connected with name Sudarshana Reddy . I have sent 500. Transfer happen...
I paid a bribe for passport verification,300,Verification and Certificates,"July 27, 2019","Jodhpur, Rajasthan",2190,The person asked me for bribe saying that they need to post the verification documents to Delhi and I am supposed to pay 300 (he asked more money too ...
Ajeet yadab,"25,000",Customs Check and Clearance,"July 27, 2019","Chennai, Tamil Nadu",4735,Ajeet yadav central excise inspector...
My Income Refunds was pending since 5 years and no action taken.,"40,000",PAN,"July 26, 2019","Mumbai, Maharashtra",2223,I am Daljeet Singh Chandhok a normal person working in various company till 2016. I sold my Flat due to some personal crisis at my family. that time T...
Vehicle Transfer/Purchase to Nashik,"6,000",Driving and Transport Business,"July 26, 2019","Nashik, Maharashtra",2452,I have recently bought a second hand Wagon R LX car from an decorated Army Officer with all clear paperwork but from another state.(There are provisio...
He is not doing simple work,10,Aadhaar Card Process,"July 26, 2019","Tumkur, Karnataka",3191,"This is ongoing since a week when I got SMS to collect the birth certificate.i wrote the mistakes they had committed,when I went again he is not corre..."
I DIDN'T BREAK ANY SIGNAL AT THE CROSSING AND YET FINED AND WAS TOLD FOR LICENSE TERMINATION,400,"Traffic Fines, Penalties, Rules","July 26, 2019","Panaji, Goa",1399,"TODAY AT  - 9:30 I was coming on my bike towards my office, I waiting for the signal go get green for almost a minute and then it got green I was behi..."
Company did fraud for the job,"90,000",Others,"July 25, 2019","Kolkata, West Bengal",2548,Sterling and wilson has taken 90000 rs by a source and gave me a offer and now they refused. The company called me by the own landljne number and they...
PAN Card Delivery,140,Post and Parcel,"July 25, 2019","Bangalore, Karnataka",1364,"The person who delivered my PAN card asked for money. I don't know why he did, as i have already paid the PAN amount. He refused to leave until i gave..."
Clearks are requesting money in order to get the work done ,500,Services,"July 24, 2019","Srinagar, Jammu and Kashmir",1454,I was asked to pay bribe in order to get my work done and when i refused to pay they were not doing my working and when i asked them is my work done t...
RC Scale Air Filters,"1,200",Others,"July 24, 2019","Adari, Uttar Pradesh",2145,Call us or contact us right now at RB Innovations (rbinnovations.com) to wholesale best and realistically priced 1/8 scale air filters and also all ai...
BESCOM took 50000 as bribe from each house in abandoned layout to get permanent meters ,"50,000",Electric Meters,"July 23, 2019","Bangalore, Karnataka",1884,"SVS Home City Beside Signal Training School Bagalur Road Yalhanka.  Line Man, JE, till senior officers are involved in bribe.  Each house owner paying..."
 Doctor  taking bribe in civil hospital,"6,000",Hospitals and Medical Care,"July 20, 2019","Bongaigaon, Assam",1649,I've brought a delivery patient and it was done surgery but not the doctor is asking bribe of minimum of RS. 6000 And the name of the doctor is Hafiza...
Bribe to esi c inspection officer,"50,000",,"July 19, 2019","Raipur, Chhattisgarh",2439,Hello There is a inspection officer of ESIC from bilaspur block ..On grounds of inspection he is taking out fraudulent reports andsaying to set it rig...
Bribe for 1st class,150,"Fines, Penalties and Rules","July 19, 2019","Mumbai, Maharashtra",2179,"I was in a train in which the first class sign, the I sign was tampered in the middle and it appeared to be the second class sign, like II. I was in a..."
Give bribe and work is done,200,Government Schemes,"July 19, 2019","Saharanpur, Uttar Pradesh",1965,When I go to city hospital then I see that  A BABU was sitting which was taking money from everyone one and many of them are from very poor families  ...
Changing Gas Delivery Address,90,Others,"July 18, 2019","Guntur, Andhra Pradesh",1570,Person in Gad Asking money for Changing delivery location...
No receipt for fine payment,"1,000",Autorickshaws,"July 18, 2019","Bangalore, Karnataka",2669,My bike was not having insurance from last 3 days(as I don't have money this month to renew it). One traffic police stopped my bike and asked for all ...
FROATS Pocket Tee Light Navy T Shirts – Froats.com,"1,200",Others,"July 17, 2019","Adilabad, Telangana",1897,"Get 100% Super Soft, Pre-Shrunk Cotton, Lightweight yet durable, Front left chest pocket emblazoned with The Goose and Full FROATS logo on back. This ..."
Some Traffic Police are asking 2000  rupees  for Not having NOC,500,"Traffic Fines, Penalties, Rules","July 17, 2019","Chennai, Tamil Nadu",2853,"Yesterday (16th-Jul-17, Time 6 pm ) I was traveling in AP registered bike along with my fiance, Police all of sudden they came on the road and stopped..."
Buy Freshly Ground or Beans Coffee at Hardworkingproducts.com,"1,200",Others,"July 17, 2019","Adityapur, Jharkhand",2405,"If you want to buy in small amounts and store the pre-ground or beans coffee well, you could get a better cup of coffee rather than if you had ground ..."
Hoverkart/Hovercart Replacement Parts For Sale UK – Smartboardsuk.com,"1,200",Others,"July 17, 2019","Adilabad, Telangana",1729,"Get online perfect replacement for a damaged or broken hoverkart/hoverkart seat, fitment for most models of hoverkart / buggy / gokart attachment and ..."
EPF Officer asking for Bribe,"8,000",Government Personnel,"July 23, 2019","New Delhi, Delhi",1739,"I went to EPFO office at Sector 23, Dwarka to claim my PF amount but Mr. Govardhan asked me to give Rs 8000 to settle my claim. I denied to give him t..."
Mango Pods – Buy Juul Compatible Mango Cali Pods,"1,300",Others,"July 23, 2019","Adari, Uttar Pradesh",1684,"We at Calivapepods.com carry mango cali pods, mango pods, mango juul compatible pods and you need to to try this new flavor that we promise you haven�..."
The Kiddos - Blue Seersucker Boat Shoes,"1,500",Others,"July 23, 2019","Achhnera, Uttar Pradesh",2094,"Now the Tater Tots can rock 'em just like their parents - soft, moldable leather, best in class insoles, velcro strap for easy tightening & loosening ..."
Bribe paid for police verification at Byapanhalli Police Station,300,Policies and Procedures,"July 23, 2019","Bangalore, Karnataka",1348,19th July 2019 : Since i keep switching cities due to my job i  don't generally update my address in any of my documents. I just had my rent agreement...
"AR15 223 5.56 Delta Ring Kit - Delta Ring, Snap Ring, Weld Spring ","1,200",Others,"July 22, 2019","Adilabad, Telangana",1677,"Buy online best and inexpensive AR15 223 5.56 Delta Ring Kit, Delta Ring, Snap Ring and Weld Spring that are necessary for installing a barrel onto a..."
Mini RootGuard Heavy Duty Gopher Wire Baskets- Protects for 6-10 Years,"1,200",Policies and Procedures,"July 22, 2019","Achhnera, Uttar Pradesh",1936,The one-quart Mini RootGuard Gopher Guard basket (144 pack) is quite easy to use and specially designed to protect the roots of small plants and the M...
All Terrain Hoverboards Segway/Swegway UK at Smartboardsuk.com,"1,200",Land Registration,"July 22, 2019","Adari, Uttar Pradesh",1748,"Shop online best all terrain hoverboards segway/swegway UK, swegway parts, accessories & get best repair services from UK's No. 1 Hoverboard Segway ce..."
Reissue of passport police verification,700,Issue and Renewal of Passport,"July 21, 2019","Belgaum, Karnataka",3199,"Yemkanmardi Police station. Date- 20-07-2019, Time - 6:30p.m to 7:00p.m Police Mr.Kharoshi said my fees are Rs. 500 and R S Hucchareddy took Rs.200 bu..."
Bribe for international driving licence ,"1,500",,"July 20, 2019","Bangalore, Karnataka",1544,I had submitted my application for international driving licence with all the documents intact and as per guidelines. Inspite of everything in place t...
Gst registration ,"5,000",,"July 20, 2019","Kanpur, Uttar Pradesh",3040,"Mahodaya Maine apne vevasay k liye gst no apply kia tha lekin gst office se 2 log visit karne aaye visit k baad mujhe se 5000 rs mangne lage, na dene ..."
Silver Bullet BULLET for HPI BAJA - Polished,"1,200",,"July 17, 2019","Adilabad, Telangana",1643,HPI BAJA Nitrous system allows switch activated ground pounding performance gains and Silver Bullet Nitrous Injection kit #NS7500 includes: Completely...
Get Cali Pods Compatible Battery at Calivapepods.com,"1,200",Others,"July 16, 2019","Achhnera, Uttar Pradesh",1841,"Find Cali Pods, Cali Disposables, Cali Pods Stick and Delicious Pods on calivapepods.com and also you get Cali Compatible Battery with us at https://w..."
Buy Gas Block .936 Mini Low Profile Steel Gas Block (Black -936GB),"1,200",Others,"July 16, 2019","New Delhi, Delhi",1582,Buy Gas Block .936 Mini Low Profile Steel Gas Block (Black -936GB) made out of steel for .936 barrel diameter and two set screws include gas tube roll...
Keto Slim RX - Shark Tank Diet Pills To Burn Extra Fat Naturally!,50,College Leaving Certificate,"July 16, 2019","Achhnera, Uttar Pradesh",2557,Keto Slim RX: It's what I like to try to to with some illustration. Perhaps I might not be partially right in association with this. That may answer t...
I want my hard earned money back which they used as bribe,"2,000",Ticket and Seat Related,"July 16, 2019","New Delhi, Delhi",1414,Purwa express itwa station  Time: 11:42 p.m Date: 15th July 2019 ...
Asking bribe to give RC Card,500,Number Plates and Vehicle Registration,"July 15, 2019","Bangalore, Karnataka",1431,"I went to collect my RC Card, paid all the bills and taxes, but just to give RC card person named krishna in kormangala RTO office is asking 500 buck ..."
Malkpur village patwari from Ludhiana asked bribe from my brother ,"10,000",Land Registration,"July 15, 2019","Ludhiana, Punjab",2250,I got some land in village malakpur inherited from my father in Ludhiana  in my name transferred to my brother recently. When my brother went to get m...
Pradeep Yadav ETO ,"10,00,000",Sales Tax,"July 14, 2019","Rewari, Haryana",1755,I am a CA and have many times noticed ETO Pradeep Yadav getting excessively violent on small traders and merchants here in this area. He first makes p...
Passport verification.,500,Verification and Certificates,"July 14, 2019","Nashik, Maharashtra",2568,"Nashik Road, Upnagar Police Station. All the three verification officers sitting in the room where you are sent for getting police clearance for passp..."
KR Puram RTO office is collecting an additional 10rupees on every challan payment.,10,,"July 14, 2019","Bangalore, Karnataka",1486,KR Puram RTO office is collecting an additional 10 rupees on every challan payment. Thousands of people are paying when questioned they are shouting o...
Electrical division maharani Bagh a Mr Mr Sharma rickshaw ke Kara ispat ka nanga nach Salman DJ depa,"9,00,000",Allotment of subsidized housing,"July 14, 2019","New Delhi, Delhi",2207,Electrical division second maharani Bagh d u s i b department...
Donation for admission in college,"18,000",School or College Related,"July 14, 2019","Mumbai, Maharashtra",2463,Thakur college is one of the most bribe payed college in Mumbai . I was rejected for admission in first year baf degree in thakur college kandivali . ...
No parking fine ,500,"Traffic Fines, Penalties, Rules","July 13, 2019","Bangalore, Karnataka",2623,"Umesh , 1/13/2019 ,3:00PM  , Bangalore Kammanahalli Traffic police  ,  Officer is taking care of  No Parking vehicle   Today It happened to me park my..."
Bribe taken by officer,"2,000",Autorickshaws,"July 13, 2019","Nagpur, Maharashtra",2817,They have caught us at night while we are returning and just asked for 3000 first and they checking our mobile because they are afraid as they are tak...
Bribe for passport verification,"2,000",Verification and Certificates,"July 12, 2019","Pune, Maharashtra",2384,I was called for passport verification. I don't remember the date exactly. It was approx one week before or after the week I mentioned.  Station: hinj...
Police Address Verification,"1,400",Police Clearance Certificate,"July 11, 2019","Kanpur, Uttar Pradesh",4277,I paid bribe to get my passport. My passport address verification was adverse because i didn't give bribe earlier. After paying visit and money of 500...
Going into Brts route and no helmet,500,"Traffic Fines, Penalties, Rules","July 11, 2019","Ahmedabad, Gujarat",3178,"On 11th July 2019 , there were about 5 traffic police officers and 1 Psi ( N A Dabhi) standing at Maninagar Crossing Besides the Road, they were stopp..."
For Property Registration at Nagpur Registered Office Great Nag Road,"60,000",Property Registration,"July 11, 2019","Nagpur, Maharashtra",2321,"I was about to Register for A Land in Nagpur, for which the Lawyer told me that the Registrar needs to be paid for Getting this Registry done. When i ..."
Police Asked Bribe For Passport Verification,500,Verification and Certificates,"July 10, 2019","Narsimhapur, Madhya Pradesh",1972,Today Policemen Called Me To Come For Passport Verification(Normally Police Comes Home) He Asked Me 500 Rupees For Passport Verification. When I Denie...
Complain,400,Autorickshaws,"July 10, 2019","Ranchi, Jharkhand",3292,Police taken bribe near governor house traffic tin muhan time 4:30pmdate10/07/2019 ranchi...
"Buy Handcrafted Stemless Wine Glasses, Drinking/Dining Glasses & Wine Glasses","1,200",Others,"July 8, 2019","Adari, Uttar Pradesh",1658,Buy beautiful handcrafted stemless wine glasses from Oaxaca that are made from recycled glass while each glass is handcrafted in Mexico by Xaquixe Gla...
Suspension Hoverkart / Hovercart Replacement Seat UK – Smaerboardsuk.com,"1,200",Others,"July 8, 2019","Achhnera, Uttar Pradesh",1737,"Get online best and inexpensive Suspension Hoverkart / Hovercart Replacement Seat UK that allows you to reach the maximum speed, safely, from your hov..."
Srivaikuntam Police station asked for 20000 Bribe for filing FIR for loss of Sale deed ,"20,000",FIR and Complaints,"July 8, 2019","Tuticorin, Tamil Nadu",1424,Mr. Vivekanandan from Alwarthope wanted to make a FIR to get a duplicate copy of sale deed for a land. Since he lost the Sale deed and wanted to get t...
Complain against Ram Bihari Mishra Lekhpal in Lalganj Tahsil,"2,00,000",Caste Certificate,"July 7, 2019","Lalganj, Bihar",3169,Name: Ram Bihari Mishra Date: 26/12/2018 Time: 2:40pm Location: Lalganj Ajhara Office: Opposite to lalganj tahsil Designation: Lekhpaal...
I was go to medical fitness certificate for my govt job. ,500,Health Services,"July 7, 2019","Darbhanga, Bihar",1697,There were many candidates arrived at civil surgeon office Darbhanga on that day to get medical fitness certificate for their govt job. The senior cle...
Rent agreement police verification,"1,200",Registrations and Licenses,"July 6, 2019","Pimpri-Chinchwad, Maharashtra",1826,I was asked to pay 1200 rs for police verification of tenants on 6th of July 2019 around 6 pm at chikhali police station...
Https://www.herbalsupplementreview.com/primo-boost-keto/,"25,550",Service Tax,"July 6, 2019","Adilabad, Telangana",1731,"Primo Boost Keto In the last few years, FDA has discovered a whole bunch of ""dietary dietary supplements"" containing medication or different chemical..."
Nothing can be done at own without the help of broker Rajkumar,"6,000","Caste, Community and Income","July 6, 2019","Coimbatore, Tamil Nadu",2731,"There is an guy called rajkumar(robinpettai) in ketti 1,2,3 panchayat ,the nilgiris  (his wife is an area president) no services can be done without h..."
Misused the mv act for getting bribe,"2,000","Traffic Fines, Penalties, Rules","July 5, 2019","Pratapgarh, Tripura",1796,On 2 july 2019 at belha chauraha pratapgarh i was forced to give bribe of 2000 for tripling on bike although i have all required documents and helmet ...
Bribe for Passport Verification,500,Policies and Procedures,"July 5, 2019","Srikakulam, Andhra Pradesh",1546,"On the day of passport verification, a constable came to our house and did the necessary proceedings. After completing everything he asks for money. O..."
CORRUPT POLICE OFFICE YOGENDER SINGH (9756100073) AUDIO TAPE IN WHICH HE IS ASKING 1 LAC FROM US,"1,00,000",FIR and Complaints,"July 10, 2019","Aligarh, Uttar Pradesh",2391,CORRUPT POLICE OFFICE YOGENDER SINGH (9756100073) AUDIO TAPE IN WHICH HE IS ASKING 1 LAC FROM US AND ALSO ASKING 50 THOUSANDS FROM SOME OTHER PARTY ON...
Get The Charleston Blues Boat Shoes at Froats.com,"1,200",Others,"July 9, 2019","Adityapur, Jharkhand",2506,Cut a rug and shag the night away and its essential revelry when wearing this pair inspired by the Holy City. But you don’t have to be a South Carol...
